period,dY,dC,dI,dw,pi,r
1981.01,-0.21672589,0.060479314,2.651856984,0.32875433,0.950377644,2.147704254
1981.02,0.599157578,0.180398108,-1.016512543,0.405984252,0.950516994,1.798887542
1981.03,-0.838700061,0.354750446,0.829315597,0.288746225,0.989808667,1.831604293
1981.04,0.520034757,0.497463303,1.227342562,0.215337081,0.992256157,1.73144584
1982.01,1.098853071,1.269225253,-0.160167984,0.758324156,0.586558039,1.67118761
1982.02,-0.32892398,1.091719915,1.437007589,0.719098265,0.554977272,1.811937621
1982.03,-0.451959557,-0.616461367,-0.797572619,0.805562703,0.780960889,1.798454256
1982.04,0.24504941,2.190586292,-2.261198321,0.253708547,0.675504258,1.729187539
1983.01,0.237870068,-0.227093477,-0.808912252,0.419228518,0.188800573,1.677795858
1983.02,0.49905603,0.362902838,2.085791233,-0.139033573,0.270147238,1.566612532
1983.03,0.647784662,0.944186471,-0.971667729,0.300449934,0.384188974,1.63357096
1983.04,0.161581851,-0.039368312,0.003114272,-0.026127137,0.70885805,1.589795878
1984.01,0.932838034,0.617849866,4.308920162,0.813540157,0.499469852,1.564320932
1984.02,1.248149589,0.273017324,0.601088242,-0.581145359,0.585869393,1.479954214
1984.03,0.74879181,0.858379632,3.778901912,0.290496464,0.495957437,1.557070862
1984.04,-0.16064793,-0.539573336,4.051239185,0.046683864,0.721956468,1.574154268
1985.01,1.604720692,1.118423003,6.524957323,0.32555404,0.533550193,1.581062526
1985.02,1.372756493,0.956264211,0.63837404,0.896927427,0.320266418,1.536020886
1985.03,0.611855838,-0.135883663,5.606207124,0.403932531,0.416967713,1.5967925
1985.04,1.332021316,1.833103403,1.072540776,0.280409093,0.141233306,1.8600825
1986.01,0.021803832,-0.27415181,-1.035790944,1.06890792,0.616618989,1.5688575
1986.02,0.521702713,0.258222488,1.975965642,-0.212376438,-0.080198847,1.157325
1986.03,0.636441126,1.09813661,0.208255097,1.028979416,-0.169264092,1.1721175
1986.04,0.456764701,-0.059409963,1.219467705,0.438995147,-0.127692397,1.063025
1987.01,-0.903001166,0.725191806,-1.028525893,0.599025495,0.207239577,1.04995
1987.02,1.265217005,1.006667373,1.778147489,-0.308538671,0.153255528,0.8597925
1987.03,1.628811032,0.909991618,3.502917642,0.480978517,0.274114637,0.8436925
1987.04,2.038391024,1.390459667,1.962967094,0.198385982,0.042191883,0.9153575
1988.01,2.243470408,0.760168263,3.926112452,2.119822228,0.010002746,0.9215
1988.02,-0.62748404,1.357211724,3.995685823,-0.192205398,0.046374982,0.8793925
1988.03,1.986480693,0.00950925,5.627503671,0.545935095,0.184474392,0.99415
1988.04,0.726407578,0.757569462,2.52775906,0.533420917,0.343554417,1.0397425
1989.01,2.629895083,2.50001871,8.889930342,0.085492566,0.363683732,1.04394
1989.02,-1.250399967,-1.335878141,-4.633695422,0.043632499,0.577550558,1.18609
1989.03,1.569224053,1.761135602,2.916075201,0.610011304,0.449734458,1.336365
1989.04,2.937023917,2.624074693,4.506578114,0.655001918,0.339039922,1.5507
1990.01,-0.930462087,-0.655414128,0.43149331,-0.510047372,0.657662571,1.6700525
1990.02,2.783871227,3.124441814,3.047774844,0.931887565,0.59872785,1.8155
1990.03,0.965185889,0.447480105,2.7371695,0.410006064,0.666379116,1.902565
1990.04,-0.476512033,-1.207171253,1.384942348,-0.520718854,1.116325775,2.0097775
1991.01,0.560282391,0.185319142,2.89475898,0.489922601,0.763232223,2.0377075
1991.02,0.984147972,1.140127016,-2.923884801,1.237226259,0.425904517,2.0255825
1991.03,-0.642683476,-0.734662062,-0.465931284,0.515427494,0.609103121,1.83286
1991.04,0.665600026,1.13127352,-0.732340055,0.304432062,0.570281272,1.62919
1992.01,-0.479579667,0.877298409,-4.313969112,0.533914549,0.58007097,1.40518
1992.02,0.048715539,-0.730642743,-0.500358649,0.341734903,0.766523043,1.18869
1992.03,-0.599338672,-0.382692855,-2.182026308,-0.262190692,0.33306428,1.0730725
1992.04,-1.046497459,-0.714313659,-4.276805435,0.051694097,0.328593761,0.9928725
1993.01,0.976068975,1.245061086,3.18964632,-0.107957196,0.277864931,0.8681525
1993.02,-1.609031556,-1.145972073,-8.028419729,0.536910812,0.334903539,0.799955
1993.03,-0.704666652,0.037731718,-5.572765246,0.140307757,0.230668038,0.77082
1993.04,0.344233711,1.666129947,-5.571921889,0.116514538,0.157694936,0.6204225
1994.01,0.266005154,-0.42188847,3.880376946,0.379032894,0.185952188,0.5684475
1994.02,-0.28972535,0.208231487,-1.43393328,1.026694732,0.338021512,0.52733
1994.03,0.593317519,1.593326427,-0.258205176,-0.012079895,-0.053753635,0.533445
1994.04,-0.948592306,-0.719486606,-0.284147223,0.478441778,-0.081263561,0.5664875
1995.01,0.336045826,-0.429705837,0.296627675,-0.084562882,0.156841655,0.554675
1995.02,0.659690485,0.865699849,4.271002088,0.818403984,-0.231295252,0.3431125
1995.03,0.83049182,0.485372119,-0.441557384,0.376899018,0.053823558,0.20016
1995.04,-0.403362337,0.384278004,-0.540821095,-0.311447989,0.070870386,0.1155175
1996.01,0.391112529,0.354859113,-4.812605093,0.916930346,0.022728581,0.114985
1996.02,0.737791597,0.661221016,4.531433496,0.273057196,0.017769566,0.118815
1996.03,-0.284278972,-0.335105876,3.478417123,0.315086786,0.122076701,0.11618
1996.04,0.951284298,0.963800934,1.294138694,0.066951265,0.112101322,0.1198325
1997.01,0.205941583,1.444891022,2.892748828,0.235514492,0.209366602,0.1241225
1997.02,0.127739379,-2.606722282,0.259897004,0.617473775,0.263540491,0.123175
1997.03,-1.21433655,0.591201409,0.226548689,0.009401457,0.220513105,0.1229575
1997.04,0.260840605,-0.576035157,0.510393135,-0.385074136,0.197185117,0.1137825
1998.01,-2.080510534,-0.807249647,-3.915010293,0.523435841,-0.193908219,0.10832
1998.02,-0.569924863,-0.401524089,-1.519859599,0.060244286,-0.138599684,0.1090025
1998.03,-0.005702352,0.869400002,-3.271070456,-0.065463348,-0.137760504,0.0968175
1998.04,0.164258144,0.288993133,-6.328284885,-0.177351109,0.149510045,0.0573325
